Name,OtherName,Elevation,Latitude,Longitude
Montgomery Peak,,13441,37.838299,-118.356965
Mount Dubois,,13559,37.783365,-118.343216
White Mountain Peak,,14246,37.634144,-118.255718
Mount Barcroft,,13040,37.582263,-118.248301
Black Mountain,,9083,37.266937,-118.22532
Emigrant Peak,,6789,37.960377,-117.898902
Piper Peak,,9450,37.704288,-117.908942
Waucoba Mountain,,11123,37.021874,-118.007911
Mount Inyo,,10975,36.735229,-117.985686
Keynot Peak,,11101,36.707586,-117.962623
New York Butte,,10668,36.647932,-117.932666
