Name,OtherName,Elevation,Latitude,Longitude
Occidental Peak,,5732,34.235023,-118.083699
Mount Lowe,,5603,34.232068,-118.106206
Mount Wilson,,5710,34.223722,-118.061675
Mount Harvard,,5441,34.21324,-118.062377
Monrovia Peak,,5409,34.213282,-117.969666
Mount Hollywood,,1625,34.128139,-118.301182
San Vicente Mountain,,1961,34.128667,-118.512833
Sandstone Peak,,3111,34.120429,-118.931994
Topanga Lookout,,2469,34.092103,-118.636069
Castro Peak,,2824,34.085709,-118.785842
Green Mountain,,817,34.039551,-120.386506
San Miguel Hill,,831,34.032937,-120.36424
Devils Peak,Mount Diablo,2450,34.029201,-119.784428
Sierra Blanca,,1523,33.980239,-119.820632
Black Mountain,,1298,33.978753,-120.07885
Soledad Peak,,1589,33.945307,-120.117635
Signal Hill,,634,33.472047,-119.041216
Mount Orizaba,,2125,33.375136,-118.419599
Pip-squeak Spire,,13268,37.375318,-118.773513
Turner Mountain,,6893,40.298903,-121.616929
Barkley Mountain,,4473,40.161011,-121.689913
Barkley Mountain-West Slope,,4320,40.160264,-121.697961
Colby Mountain,,6001,40.148887,-121.525225
Butte County High Point,,7120,40.125857,-121.404824
Mount Pleasant,,7120,39.962786,-121.172491
Bald Eagle Mountain,,7183,39.938193,-121.235856
Kettle Rock,,7820,40.140971,-120.725767
Mount Ingalls,,8372,39.994141,-120.62745
Dixie Mountain,,8327,39.938864,-120.285348
Smith Peak,,7693,39.867357,-120.530538
Thompson Peak,,7795,40.261403,-120.55817
Mount Washington,,7369,39.725547,-120.713145
Mount Elwell,,7818,39.70827,-120.689159
Bunker Hill,,6967,39.665788,-120.834173
Yuba County High Point,Sugar Pine Peak,4825,39.607643,-121.015194
Mount Lola-North Ridge Peak,Mount Lulu,8844,39.45003,-120.363919
Mount Lola,,9148,39.432952,-120.365117
Black Buttes,,8028,39.395278,-120.557641
Castle Peak,,9103,39.365498,-120.349208
Andesite Peak,,8219,39.351113,-120.366762
Andesite Ridge-South Peak,,7605,39.342418,-120.351806
Beckwourth Peak,,7252,39.773439,-120.432409
Babbitt Peak,,8760,39.602544,-120.105706
Sardine Peak,,8135,39.540205,-120.187861
Crows Nest,,7896,39.297067,-120.350158
Mount Disney,,7953,39.294652,-120.340815
Anderson Peak,,8683,39.25911,-120.297177
Mount Pluto,,8617,39.241524,-120.140154
Needle Peak,,8971,39.200557,-120.301041
Granite Chief,,9006,39.198239,-120.287064
Squaw Peak,,8885,39.180667,-120.269674
Twin Peaks,,8878,39.112419,-120.231647
Barker Peak,,8166,39.07949,-120.239043
Lost Corner Mountain,,8261,39.013804,-120.204319
Tells Peak,,8872,38.9599,-120.254641
Dicks Peak,,9974,38.900614,-120.151105
Pyramid Peak,,9983,38.845106,-120.158081
Mount Rose,,10776,39.343715,-119.917874
Snow Valley Peak,,9214,39.15396,-119.88323
East Peak,,9591,38.94251,-119.907349
Monument Peak,,10067,38.922804,-119.897655
Freel Peak,,10881,38.857499,-119.900095
Hawkins Peak,,10024,38.738566,-119.872452
Thunder Mountain,,9410,38.676733,-120.08537
Winnemucca Lake Southeast,,9800,38.663872,-119.98569
Round Top,,10381,38.663609,-120.000647
Carpenter Benchmark,,828,38.649206,-121.099632
Raymond Peak,,10014,38.603771,-119.833341
Mokelumne Peak,,9334,38.53815,-120.094455
Highland Peak,,10936,38.543691,-119.755528
Mount Reba,,8755,38.507759,-120.028814
Corral Hollow Hill,,8170,38.477945,-120.073082
Sonora Peak,,11459,38.35385,-119.6355
Blue Mountain,,6071,38.342103,-120.364973
Leavitt Peak,,11569,38.286182,-119.651249
Granite Dome,,10320,38.21535,-119.746069
Hells Mountain,,6998,38.073322,-119.916833
Rickey Peak,,10126,38.263691,-119.38123
Eagle Peak,,11847,38.179872,-119.408581
Tower Peak,,11755,38.144524,-119.547713
Crown Point,,11346,38.110985,-119.457565
Wheeler Peak,,8990,38.100387,-119.731943
Matterhorn Peak,,12279,38.093039,-119.3817
Richardson Peak,,9877,38.083839,-119.692575
Dunderberg Peak,Castle Peak Benchmark,12374,38.064543,-119.274325
Piute Mountain,,10541,38.033521,-119.547978
Excelsior Mountain,,12446,38.024511,-119.305349
Pettit Peak,,10788,37.985764,-119.480509
Mount Conness,,12590,37.966955,-119.32155
Mono Dome,,10622,37.959662,-119.171946
Rancheria Mountain,,8960,37.959112,-119.608069
Lembert Dome,,9450,37.881876,-119.347121
Bald Mountain,,7261,37.855232,-119.790285
Smith Peak,,7751,37.926718,-119.735067
Tuolumne Peak,,10845,37.875184,-119.484771
Mount Hoffmann,,10850,37.846842,-119.510591
Clouds Rest,,9926,37.767833,-119.489277
